sma_window1,sma_window2,ema_window1,ema_window2,macd_fastperiod,macd_slowperiod,macd_signalperiod,adx_window,sar_acceleration,sar_maximum,obv_window,ad_window,adosc_fastperiod,adosc_slowperiod,mfi_window,custom_volume_window,rsi_window,stoch_fastk,stoch_slowk,stoch_slowk_matype,stoch_slowd,stoch_slowd_matype,cci_window,willr_window,mom_window,cmo_window,dx_window,macdext_fast,macdext_fast_matype,macdext_slow,macdext_slow_matype,macdext_signal,macdext_signal_matype,macdfix_window,minus_di_window,minus_dm_window,plus_di_window,plus_dm_window,ppo_fast,ppo_slow,ppo_matype,roc_window,rocp_window,rocr_window,rocr100_window,stochf_fastk,stochf_fastd,stochf_fastd_matype,stochrsi_time,stochrsi_fastk,stochrsi_fastd,stochrsi_fastd_matype,trix_window,ultosc_p1,ultosc_p2,ultosc_p3,atr_window,natr_window,trange_window,bbands_timeperiod,bbands_nbdevup,bbands_nbdevdn,bbands_matype,stddev_window,value
33,49,19,65,14,28,13,27,0.019013165684708466,0.19714387514825457,16,16,10,18,22,28,12,18,3,0,3,4,10,17,6,18,12,9,2,50,3,12,1,14,28,21,15,28,20,23,1,16,13,6,8,12,5,4,14,2,5,0,15,5,11,33,10,11,27,30,2.3199845569354496,2.737022818588808,2,10,413.3
32,54,24,62,12,25,14,26,0.026356654508736626,0.11988711924828797,16,5,10,17,24,32,10,15,4,1,3,4,12,20,7,20,12,11,3,47,3,13,1,14,30,19,12,28,18,20,2,19,15,6,10,11,5,4,16,2,5,0,17,5,13,35,15,12,29,28,2.501641500775187,2.5808167627893175,2,11,410.92
37,46,23,71,16,28,13,25,0.03082958926820313,0.14045483075017812,12,18,10,19,22,37,26,18,3,0,3,4,11,19,5,27,12,8,1,37,3,12,0,13,28,25,17,30,19,23,1,17,15,5,14,12,5,4,11,2,5,0,13,5,10,27,12,15,26,29,2.7450742151372207,2.7011338047726245,3,19,396.63
25,40,20,57,14,30,14,27,0.022337301095785217,0.21090800095888854,14,19,10,13,24,28,8,15,4,1,2,4,13,18,6,25,14,8,3,44,3,12,1,14,26,21,14,27,18,27,2,5,12,10,9,13,5,4,23,2,5,0,21,6,12,33,15,11,23,25,2.372786529957919,2.8557962501093055,2,14,400.77
34,64,25,61,13,23,10,24,0.028556919994219,0.1323845082725375,18,16,9,15,21,25,19,13,3,1,3,4,11,20,7,21,11,11,2,41,3,13,1,13,28,19,11,26,17,25,1,14,13,11,8,12,5,3,17,2,5,0,10,5,14,40,17,22,25,23,2.420836771046438,2.5809530715382962,2,11,385.45
30,45,22,56,11,26,11,16,0.016072356019166158,0.10201323054648065,17,14,10,25,26,26,22,17,4,2,2,3,10,22,6,18,13,6,3,36,4,14,2,12,25,25,16,29,19,28,2,19,15,8,11,14,5,3,14,2,4,0,18,6,11,30,14,14,28,27,2.495102893855745,2.505670678057622,2,25,408.2
38,55,31,61,15,30,14,28,0.03229222676259457,0.17152501965321792,13,18,4,21,23,30,15,14,3,1,3,4,13,18,5,24,11,11,1,33,3,11,1,13,29,18,10,25,16,22,1,15,11,9,17,15,5,4,19,3,5,4,19,5,13,23,16,11,24,28,2.2566806530005317,2.6667405889784352,3,10,405.11
21,70,26,52,19,34,14,29,0.024140174492496773,0.28351726063250715,19,17,9,15,25,23,8,10,3,2,2,3,15,22,9,22,10,8,2,30,2,10,2,15,27,16,13,28,20,25,2,18,17,6,7,10,5,3,17,2,4,0,21,6,12,31,12,13,23,30,1.9812619180966664,1.8884772199904671,0,13,413.92
18,77,27,48,10,36,13,29,0.022266385656486868,0.24604652633852256,15,18,10,16,20,27,8,8,3,2,2,3,12,20,9,19,10,7,2,48,2,10,2,14,25,20,12,14,19,24,3,18,16,8,6,11,4,3,19,3,4,2,16,7,12,32,18,13,25,29,2.178055497897012,2.9953356323713023,2,12,391.41
5,50,24,48,12,29,13,27,0.02600889691731215,0.3602607050565624,17,19,9,12,28,29,7,11,3,0,2,4,18,21,7,22,13,6,2,39,3,14,4,12,29,18,15,26,17,26,2,20,14,5,19,8,5,2,15,2,5,1,23,5,14,31,14,12,22,26,1.8149206451788946,2.825230137092653,1,11,380.61
